PRESIGNAL BASE LOOSE SURVIVORS
Tier rule: 12/15  features=15
  FMX       2021-06-03
  FNKO      2024-12-19
  FNV       2025-12-05
  FRPT      2020-07-13
  GCT       2026-03-31
  GDYN      2024-10-02, 2024-10-04
  GEF       2021-08-30
  GES       2025-08-13
  GFF       2021-03-03
  GGB       2020-08-31
  GLNG      2021-05-26
  GOLD      2024-08-22
  GPRE      2021-02-08
  GRBK      2024-02-07
  GSL       2026-01-23
  GUSH      2021-05-27
  HAE       2022-10-19
  HBAN      2020-10-20
  HBM       2021-04-28
  HCI       2021-09-22
  HD        2020-10-06
  HLNE      2024-05-16
  HLT       2026-01-27
  HLX       2022-10-17, 2023-08-28
  HRB       2021-07-28
  HROW      2024-09-25
  HST       2021-04-23
  HWKN      2024-06-28
  IAC       2021-04-21
  IART      2021-04-13
  IBKR      2025-01-21
  ICFI      2021-04-13
  IDCC      2025-06-11
  IESC      2025-09-18
  IFF       2024-07-18
  INCY      2025-10-23
  INMD      2020-10-07
  INSW      2024-05-01
  IONQ      2025-04-23, 2025-09-08
  IONQ-WS   2025-09-10
  ISRG      2020-12-16
  IWO       2020-07-28
  JACK      2021-01-05
  JEF       2021-05-03
  KEY       2024-03-01
  KGC       2025-07-31
  KMT       2021-03-11
  KNTK      2024-09-10
  KOF       2023-03-21
  KRNT      2021-08-31
  KSS       2021-04-27, 2025-11-03
  KTOS      2025-05-16
  LAD       2020-12-31
  LEN       2020-07-13, 2024-02-26
  LEN-B     2024-02-22
  LRCX      2023-05-11
  MANH      2021-02-02
  MCK       2022-03-10
  MEDP      2021-08-26
  METC      2025-09-17
  MFA       2021-02-12
  MHO       2020-10-09
  MIDD      2021-04-14
  MLI       2025-11-19, 2025-11-24
  MMSI      2020-08-10, 2020-08-12
  MOD       2021-03-10
  MTB       2024-07-09
  MTDR      2022-03-18
  MTH       2020-07-15
  MUR       2022-02-01, 2022-02-23
  MYRG      2021-07-14
  NBP       2020-12-18
  NEO       2020-11-16
  NEOG      2021-03-30
  NGD       2026-01-05
  NOW       2020-08-19, 2020-08-21
  NSC       2020-07-30
  NTES      2020-08-12
  NVDA      2023-05-05, 2023-05-12
  NVMI      2020-07-22, 2020-07-31
  OCUL      2024-09-25
  OEC       2020-09-02
  OM        2021-04-22
  ORLA      2025-03-10
  OVV       2021-05-25
  PAAS      2020-07-07
  PACB      2023-05-26
  PAG       2021-09-09
  PAGS      2024-02-23
  PALL      2020-09-30
  PAR       2020-08-03
  PBI       2025-06-25
  PFGC      2021-04-23
  PJT       2020-11-24, 2020-12-04
  PKG       2020-09-14
  PLMR      2025-02-10
  POWL      2023-07-28
  PPC       2021-02-02
  PPTA      2024-11-27
  PRAA      2020-07-20
  PSX       2024-03-06
  PTEN      2021-05-26
  QNST      2024-03-12
  QRVO      2020-07-29
  RAMP      2020-07-29, 2023-12-13
  RDNT      2024-02-26
  RELY      2023-07-26
  REMX      2025-09-23
  RL        2021-04-22
  RNST      2021-03-01, 2021-03-03
  ROKU      2025-09-11, 2025-09-16, 2025-09-18
  RRC       2022-02-15, 2022-02-17
  SBCF      2021-02-18
  SCHW      2021-05-26
  SCL       2021-04-30
  SD        2022-04-07
  SG        2024-10-25
  SHW       2020-07-10
  SIG       2020-10-01
  SITM      2021-01-04, 2026-01-30
  SMCY      2025-06-18
  SNEX      2024-10-02
  SONO      2020-11-03
  SPRY      2025-06-17
  SPXL      2024-10-29
  SSP       2021-02-09
  STC       2021-08-19
  STRA      2024-02-26
  SWK       2021-04-09
  SYRE      2026-02-12
  TAL       2023-11-15
  TBBK      2021-05-03
  TBCH      2021-05-14
  TECH      2020-12-15, 2020-12-17, 2021-06-29
  TIGO      2025-07-08
  TMHC      2023-04-12
  TSLA      2025-09-08
  TTEK      2024-07-25
  TVTX      2020-12-17
  TXG       2020-07-07
  UFPT      2024-02-12
  UHAL      2020-08-03, 2021-02-17
  UI        2020-07-27
  UMH       2021-04-07
  UNH       2020-07-29
  UPRO      2024-10-29
  URA       2023-11-10
  URNM      2023-11-09
  UTHR      2021-02-12
  VAL       2022-01-28
  VCEL      2020-12-15
  VECO      2020-07-08
  VIST      2023-02-27
  VNOM      2022-04-05
  VRT       2020-09-11
  VTOL      2026-03-31
  WFC       2021-07-28
  WHD       2021-02-18
  WINA      2023-11-01
  WLK       2021-05-04
  WSC       2020-10-21, 2021-12-27
  XMTR      2025-09-12
  ZBH       2020-08-18

258 unique tickers, 306 clusters
