PRESIGNAL HTF LOOSE SURVIVORS
Tier rule: 12/15  features=15
  LNG       2021-10-07
  LOGI      2023-10-27
  LOVE      2020-12-08
  LPX       2023-06-23
  M         2020-11-20
  MANH      2023-05-02
  MAXN      2022-08-04
  MBC       2023-06-22
  MITK      2020-08-05
  MMYT      2023-08-07
  MOD       2023-06-05
  MSGS      2025-12-18
  MSOS      2020-12-08
  MSTR      2023-11-01
  MTN       2020-11-18, 2020-11-23
  MTW       2021-02-17
  MUX       2025-09-10
  MX        2021-02-12
  NBHC      2021-03-05
  NBIX      2023-12-19
  NBP       2021-05-24
  NCLH      2024-11-01
  NFLX      2023-05-25
  NIO       2020-06-12
  NSPR      2021-01-14
  NUGT      2022-02-25
  NVDA      2020-08-14
  NVT       2021-03-03
  NXT       2024-02-08
  OGI       2021-02-02
  OIH       2026-01-13
  OR        2023-03-23
  OUNZ      2020-04-08
  PACB      2025-10-21
  PARR      2026-03-10
  PAY       2024-03-15
  PDFS      2023-02-27
  PI        2021-02-16
  PK        2020-11-18
  PLAB      2021-12-14, 2021-12-17
  PLTR      2023-05-24
  PLUG      2020-06-17
  PRG       2020-07-31
  PUBM      2024-03-05
  QTWO      2024-02-29
  QUBT      2024-11-12
  REI       2021-02-02, 2021-02-12
  RGEN      2025-10-14
  RGTI      2024-12-04
  RHP       2020-11-18
  RIG       2026-02-03
  SABR      2023-08-07
  SBCF      2021-01-08
  SCCO      2025-09-17
  SD        2025-11-26
  SE        2024-04-25
  SKLZ      2020-12-02
  SKWD      2023-11-16
  SNBR      2020-12-17
  SNDX      2020-11-06
  SOHU      2021-07-07
  SPSC      2020-06-29
  STNG      2022-05-19
  SU        2021-03-02
  SXI       2025-08-11
  SYM       2023-06-05
  TAN       2020-08-17
  TCRT      2022-08-30
  TDW       2022-03-16
  TE        2025-10-02
  TER       2024-05-08
  TIGR      2020-12-30
  TMV       2022-04-28
  TPH       2023-05-02
  TSAT      2021-01-15
  UBER      2025-05-09
  UCTT      2021-03-22
  UEC       2021-03-19
  UHS       2025-11-03
  UI        2021-02-03
  UPBD      2020-08-03
  USAR      2025-10-01
  UUUU      2021-02-12
  UWM       2020-11-13
  VERI      2025-09-11, 2025-09-15
  VET       2021-02-26
  VKTX      2020-05-18
  VNDA      2025-12-16
  VNET      2025-01-16
  VNTG      2025-08-25
  VRDN      2024-09-20
  VST       2022-04-14
  WBS       2021-03-03
  WDS       2026-02-05
  WERN      2020-05-13
  WHD       2021-02-26
  WING      2020-06-29
  WIX       2020-05-19
  WMK       2022-03-14
  WWD       2020-11-12
  XNCR      2020-12-18
  XOM       2026-01-15
  XPEL      2020-11-19
  ZM        2020-06-05, 2020-09-14

222 unique tickers, 241 clusters
