PRESIGNAL DTSS LOOSE SURVIVORS
Tier rule: 12/15  features=15
  CORT      2025-12-11
  CPA       2021-03-02
  CPAY      2021-03-10
  CPF       2022-02-11
  CPRX      2022-03-23, 2022-03-30, 2023-01-11, 2025-06-04
  CPS       2021-03-11
  CQP       2021-06-16
  CRBG      2025-01-29
  CRC       2022-06-07
  CRI       2020-12-23, 2021-01-07
  CRK       2022-05-26, 2025-03-26, 2025-03-31
  CRMT      2021-08-02
  CRNX      2022-01-03
  CROX      2024-05-15
  CRS       2023-06-30, 2023-11-14, 2023-11-17, 2023-11-27, 2023-12-22, 2023-12-29
  CSGS      2025-05-14
  CSL       2022-06-02, 2022-06-08
  CSTL      2024-10-30
  CSTM      2021-08-11
  CTEV      2025-10-24, 2025-10-28
  CTVA      2022-10-28
  CUZ       2021-03-15
  CVCO      2024-11-11
  CVI       2024-03-20, 2024-04-04
  CVNA      2023-09-18, 2026-01-23
  CVS       2026-01-08, 2026-01-23
  CVX       2021-06-04, 2021-06-09, 2021-06-14
  CW        2021-01-06, 2022-04-19, 2025-01-23
  CWK       2021-12-09, 2026-01-16
  CWST      2020-11-16, 2020-12-17
  CXW       2022-06-07, 2024-05-31
  CYPH      2022-01-03
  CZR       2021-05-07
  DAR       2022-06-07
  DAVE      2026-01-08
  DCH       2021-03-09
  DCI       2023-04-03
  DCOM      2022-01-13
  DDL       2024-12-04
  DDOG      2020-12-15
  DELL      2022-02-10
  DFIN      2024-09-16
  DHT       2023-11-01, 2024-01-12
  DNLI      2026-03-23
  DNOW      2023-02-08
  DNTH      2024-07-11
  DOV       2024-09-30
  DRI       2021-09-24
  DSGX      2023-04-04
  DT        2021-04-09, 2021-04-13
  DUOL      2023-07-19, 2023-07-31
  DVA       2024-09-13
  DY        2022-03-17
  EBC       2025-02-06, 2025-02-11
  EFSC      2025-01-30
  EGO       2021-01-05, 2022-04-14
  EL        2021-11-03, 2021-11-05
  ELF       2020-12-04, 2021-03-09, 2021-10-29, 2024-06-25, 2024-06-27
  ELV       2022-02-09
  ENPH      2022-11-14
  ENS       2024-07-31
  ENVA      2022-02-08, 2022-02-11
  EOLS      2022-07-21
  EQH       2022-02-08
  EQT       2025-03-27
  ERII      2022-11-01
  ESE       2023-01-13, 2023-09-28, 2023-10-11
  ESRT      2024-09-24
  ET        2021-03-12, 2022-05-06, 2022-05-27, 2022-06-06, 2022-06-08
  ETN       2021-11-02
  EU        2024-05-06
  EVH       2022-07-08
  EW        2020-12-29
  EXE       2022-08-16
  EXPI      2023-08-01
  EYE       2025-12-05
  EZPW      2024-10-22, 2025-01-24
  FAF       2024-11-26
  FBL       2025-01-10
  FBNC      2024-12-09
  FBP       2024-10-17
  FBT       2023-01-10
  FCFS      2025-06-10, 2025-06-26
  FCG       2022-01-12
  FCN       2022-06-02, 2022-06-06
  FFIN      2024-11-13
  FFIV      2021-12-28, 2025-10-09
  FHB       2025-02-18
  FIP       2024-10-09
  FITB      2024-11-07, 2024-11-11
  FIZZ      2020-11-17
  FLEX      2025-01-21
  FLNC      2023-02-09, 2023-04-14, 2023-07-13, 2023-07-18, 2023-07-20
  FLR       2021-03-16
  FLS       2023-09-06, 2023-09-08
  FN        2024-11-08
  FNF       2021-10-22
  FORM      2024-03-05
  FPI       2022-08-03
  FRHC      2025-07-29
  FRME      2024-10-17
  FSK       2022-04-01
  FSM       2020-12-21
  FTI       2024-07-02
  FVRR      2025-01-17
  FWONA     2021-03-16, 2021-04-23
  FWRG      2023-08-28
  GBX       2024-05-31
  GD        2022-04-13
  GDEN      2022-04-01
  GDRX      2024-07-26
  GDXJ      2024-10-16
  GH        2025-01-07, 2025-06-30, 2025-10-07
  GHM       2025-10-02
  GIL       2022-01-04
  GLBE      2023-05-17
  GLNG      2021-05-05, 2021-05-17, 2021-11-09
  GNRC      2024-07-23
  GOLD      2022-03-29
  GOLF      2023-05-05
  GPI       2020-11-19
  GPN       2021-03-11
  GPOR      2026-03-27
  GRAB      2025-02-19
  GRBK      2021-05-04, 2025-10-02
  GRND      2024-08-26
  GSIT      2026-03-02, 2026-03-04
  GSL       2021-11-01, 2022-01-14
  GT        2022-01-19
  GXO       2024-11-26
  HAE       2023-07-24, 2023-07-26
  HAL       2021-06-02
  HASI      2024-04-09, 2024-10-09
  HAYW      2023-09-28
  HBAN      2021-10-06
  HBM       2021-05-06
  HCA       2022-03-03, 2023-04-04
  HCM       2021-02-16
  HEI       2023-01-25
  HERE      2025-09-12
  HESM      2025-03-20
  HGV       2022-01-12
  HIFS      2025-12-10
  HIMS      2023-04-19, 2023-04-21, 2024-07-29, 2025-10-08
  HIMX      2021-06-10, 2021-06-14, 2021-06-17
  HIPO      2025-02-06
  HLIT      2024-10-22, 2024-10-24
  HLMN      2024-11-29
  HLNE      2024-05-22
  HLT       2022-02-15
  HNI       2024-10-17
  HOMB      2024-08-26
  HOV       2020-11-19
  HP        2021-06-02
  HPE       2022-03-22
  HPP       2021-06-10
  HRB       2024-03-04
  HST       2025-11-11
  HTZ       2025-07-23
  HUBB      2022-11-21
  HUBS      2021-04-12
  HXL       2021-02-24
  IBKR      2023-01-18
  IBM       2025-11-12
  ICFI      2022-01-04
  IEZ       2023-02-16
  IIPR      2024-05-01
  ILMN      2024-11-04, 2024-12-12
  IMCR      2023-02-13
  IMVT      2024-01-09
  INSW      2023-10-12
  INTC      2021-04-06, 2021-04-09
  INTU      2020-12-23, 2020-12-28, 2021-02-17
  INVA      2024-10-16
  IOT       2024-03-07
  IP        2024-03-21
  IQV       2020-12-17
  IR        2024-11-22
  IRDM      2023-04-21
  IRTC      2021-01-20
  IT        2023-02-02
  ITGR      2021-03-09, 2021-07-02
  ITT       2024-11-22
  IVVD      2025-12-26
  JAZZ      2021-07-08, 2025-03-19
  JBHT      2022-03-02
  JBLU      2025-01-22
  JBTM      2021-05-04, 2021-05-06, 2025-12-11
  JCI       2024-09-24
  JOE       2022-03-01
  JOYY      2025-02-10
  K-W       2024-12-02
  KBE       2022-01-11
  KD        2023-11-16
  KEX       2023-09-08
  KFY       2024-09-17
  KGC       2023-08-30
  KIDS      2021-06-23
  KIM       2022-02-09
  KKR       2023-09-12
  KMX       2021-11-02
  KNSA      2024-02-27
  KNTK      2023-12-04
  KOF       2022-05-26
  KRC       2021-03-12, 2025-11-07, 2025-11-11
  KRNT      2024-11-08
  KTB       2025-01-28
  KTOS      2023-09-01, 2024-07-11, 2024-07-25
  KVUE      2024-11-27
  KVYO      2025-01-31, 2025-02-12
  KYMR      2024-08-27, 2024-11-11, 2024-11-13
  LAZ       2024-03-27
  LBRT      2024-05-16
  LC        2025-12-09, 2025-12-22
  LCII      2024-11-25
  LEU       2025-01-23
  LGND      2024-08-27
  LH        2024-11-08, 2025-01-28
  LII       2024-12-17, 2025-01-21
  LILAK     2025-12-04
  LITE      2025-01-21
  LKQ       2021-12-31, 2022-01-04
  LLY       2022-08-22
  LLYX      2026-01-07
  LMB       2024-02-27, 2024-05-10
  LNW       2024-09-20
  LOB       2024-11-21, 2024-11-25
  LOPE      2023-04-14, 2023-05-01, 2024-07-26
  LPG       2022-08-25
  LPLA      2022-01-10, 2022-02-08
  LPX       2021-12-08
  LSTR      2020-12-10
  LTC       2024-11-08
  LTH       2025-03-25, 2025-05-02
  LUCK      2023-03-31
  LUMN      2021-05-11, 2021-05-13, 2021-05-18
  LVS       2025-11-04
  LYB       2022-04-18
  LYFT      2024-03-20
  LYV       2021-06-22
  LZB       2024-12-06, 2025-01-21
  MA        2021-03-11
  MANH      2024-12-06, 2024-12-12
  MAR       2022-02-15
  MASI      2020-11-05, 2020-11-19, 2020-12-01, 2020-12-03
  MAT       2022-03-22
  MAXN      2022-09-14
  MBOT      2025-05-09
  MBUU      2021-04-26
  MBX       2026-01-13
  MCB       2022-03-22, 2025-01-29
  MCFT      2021-05-14, 2021-05-18
  MCHP      2024-05-21
  MCK       2023-08-14
  MDB       2021-12-29, 2024-02-08
  MEDP      2021-12-27, 2021-12-29, 2023-01-18, 2023-01-23
  MEG       2024-05-16, 2024-05-21
  MEI       2023-02-02
  MEOH      2022-04-19, 2022-06-09
  MET       2022-03-28, 2025-01-17
  MGK       2021-12-29
  MGY       2022-01-14, 2022-02-03
  MHO       2024-09-16
  MITK      2021-09-01
  MKSI      2021-05-27
  MLAB      2020-11-17, 2020-12-17, 2020-12-21, 2024-10-02
  MLCO      2023-04-19
  MMI       2021-12-31
  MNDY      2024-03-07
  MNRO      2023-02-02
  MOH       2021-12-15, 2021-12-31
  MOS       2022-02-08
  MPC       2023-01-24, 2023-04-03
  MPLX      2022-06-08
  MPWR      2024-10-04, 2024-10-09, 2024-10-14
  MQ        2024-02-28
  MRCY      2025-01-03
  MRNA      2021-02-08
  MSFL      2025-10-09
  MSFU      2025-10-08
  MSGE      2024-10-09, 2025-10-24
  MTB       2021-02-08
  MTH       2021-11-16, 2024-10-01
  MTSI      2025-01-16
  MTUS      2021-08-10
  MTW       2026-02-11
  MUX       2024-05-31
  MWA       2025-03-18
  MZTI      2024-04-02
  NAIL      2024-10-18
  NAT       2022-11-15
  NBR       2021-06-14
  NBTB      2024-08-26, 2024-11-11, 2024-11-14
  NEO       2023-05-12
  NEXT      2025-03-24, 2025-03-26
  NFLX      2020-12-16, 2020-12-21
  NGD       2024-05-10
  NHI       2021-03-09
  NI        2022-03-07
  NICE      2021-11-11
  NJR       2022-08-16
  NMM       2022-03-11
  NOV       2022-06-01
  NOVT      2023-06-02
  NOW       2023-09-06
  NPKI      2024-05-30, 2024-07-31
  NRG       2025-01-23, 2025-02-13, 2025-02-19
  NSC       2024-11-27
  NSP       2023-06-12
  NTB       2022-01-12
  NTGR      2025-10-31
  NTLA      2021-09-02
  NTNX      2021-02-03
  NUE       2022-01-05
  NVR       2020-11-18
  NVT       2021-12-29
  NWBI      2022-11-03, 2022-11-07
  NWN       2025-05-07
  NXE       2021-10-13
  NXST      2022-03-25
  OCGN      2024-05-20, 2026-02-26, 2026-03-02
  ODFL      2020-12-08
  OFG       2024-11-25
  OIH       2022-02-14, 2022-05-26, 2022-06-07
  OKTA      2023-10-16
  OLLI      2023-11-07, 2024-09-24
  OMF       2024-04-29
  ONON      2024-09-16
  OPCH      2022-05-31
  OPLN      2025-01-27
  OPRA      2025-02-18
  OSIS      2026-02-25
  OSS       2025-09-22, 2026-03-17
  OSW       2024-07-15
  OTEX      2021-03-19
  OUST      2025-10-14, 2025-10-27
  OXY-WT    2022-10-26
  PAA       2021-03-04, 2021-03-08, 2025-03-28
  PACB      2023-05-17, 2023-07-17
  PAGP      2022-06-01
  PAGS      2021-02-10
  PARR      2023-03-29
  PATH      2023-11-29
  PATK      2024-05-10
  PAX       2025-12-04
  PBF       2021-06-08, 2024-03-18
  PCTY      2020-12-02
  PEGA      2020-12-22, 2021-02-16
  PERI      2021-10-12
  PFBC      2024-10-22
  PGEN      2021-03-15, 2021-03-17
  PHAT      2021-03-09
  PI        2023-01-18
  PINC      2020-12-08
  PJT       2022-11-16
  PKG       2022-05-04, 2023-11-29
  PLAB      2022-02-08, 2022-02-15
  PLMR      2024-05-17, 2024-05-31
  PLNT      2021-02-23, 2022-01-04
  PLTR      2023-07-31
  PM        2022-05-26
  PNR       2024-05-15
  PNRG      2026-03-05
  POST      2020-12-31, 2022-10-28
  PRAX      2024-09-20
  PRCH      2025-03-27
  PRE       2026-02-12
  PRGS      2021-11-09
  PRI       2021-02-23
  PRKS      2022-01-07, 2022-01-11
  PSX       2021-06-02, 2025-11-11, 2025-11-14
  PTC       2023-01-24, 2023-01-27
  PTGX      2020-11-30
  PTIR      2025-10-29
  PWR       2022-08-01
  PZZA      2021-12-29
  QLYS      2022-03-30
  RARE      2021-02-09
  RBA       2024-06-12
  RGA       2024-11-14
  RGEN      2021-02-16
  RGNX      2025-12-16, 2026-01-07
  RHI       2022-03-29
  RIGL      2021-02-03
  RITM      2021-04-01
  RKT       2024-03-25
  RNST      2024-11-25
  ROAD      2024-05-23, 2024-05-29
  ROIV      2023-04-20, 2023-04-25
  ROL       2025-03-31
  ROST      2021-03-09
  RPRX      2025-05-12
  RRC       2025-03-24
  RRGB      2023-07-18
  RRR       2023-02-02, 2023-04-28, 2023-05-02, 2023-06-08
  RS        2023-08-29
  RSI       2025-01-15
  RSPG      2025-12-04
  RTX       2022-04-14
  RYN       2022-01-04
  RYTM      2025-02-05
  SAIC      2021-01-20
  SB        2022-06-06
  SBLK      2022-01-03
  SBRA      2021-03-18
  SBS       2022-11-30
  SEIC      2021-03-17
  SF        2025-12-10
  SFM       2021-06-08
  SGI       2022-01-03, 2025-01-17
  SHOP      2021-11-19, 2025-01-30
  SIG       2024-06-12
  SITM      2025-01-16
  SLG       2024-04-09
  SLGN      2022-11-08
  SLQT      2021-04-13
  SLS       2025-10-15
  SMCI      2021-12-28, 2022-01-04, 2022-01-06, 2022-01-18, 2022-06-07, 2023-02-14, 2023-03-22
  SMH       2021-08-03
  SMR       2025-01-24
  SMTC      2021-02-18, 2022-01-03, 2024-08-28
  SNDX      2023-01-12
  SNEX      2022-07-01
  SNOW      2023-07-19
  SNPS      2024-06-18, 2024-07-12
  SOC       2024-11-29
  SOUN      2023-06-26
  SOXL      2021-08-03
  SOXX      2021-08-04
  SPHR      2021-03-10, 2023-10-04
  SPNT      2024-03-07, 2024-03-18
  SPT       2021-11-09
  SPXC      2023-01-13, 2023-01-20, 2024-09-20, 2024-11-22
  SRCE      2024-11-14, 2024-11-22
  SRTA      2025-12-22
  SRTY      2022-06-16
  SSB       2024-11-11
  STAA      2021-08-31
  STE       2021-12-29, 2021-12-31, 2022-03-03
  STNE      2023-08-01
  STRL      2025-01-22
  SUPN      2021-04-15
  SUPV      2024-06-28
  SVM       2024-05-29
  SYBT      2025-08-26
  SYK       2024-11-15, 2024-11-19
  TAP       2021-04-16, 2022-07-14
  TBBK      2024-11-25
  TDW       2024-02-28
  TDY       2021-08-02
  TEN       2022-11-03
  TEVA      2023-12-22
  TFC       2024-04-09
  TFSL      2025-11-24, 2025-12-19
  TGTX      2025-01-30
  THO       2021-04-29
  THRM      2022-01-11
  TJX       2025-04-14
  TKO       2022-06-01
  TLYS      2021-12-28, 2022-01-03
  TNDM      2024-05-01
  TNET      2023-06-08
  TOST      2024-07-19
  TOWN      2025-02-13
  TPH       2021-12-14
  TR        2023-03-20, 2023-04-12
  TRN       2021-06-11
  TROW      2020-11-16
  TSHA      2025-12-11
  TSSI      2025-07-25, 2025-08-06
  TT        2023-02-14, 2023-03-07
  TTD       2024-07-11
  TW        2021-01-13, 2021-01-19, 2024-02-23
  TWM       2022-06-16
  TX        2023-06-09
  TXG       2021-04-06, 2021-04-09, 2021-04-15
  TXRH      2023-02-02
  TZA       2022-06-17
  UAL       2025-12-18
  UCB       2022-03-03, 2024-08-28, 2025-02-13
  UCTT      2024-05-22
  UEC       2021-06-07
  UIS       2024-02-15
  ULTA      2021-11-16
  UMBF      2024-08-21
  UMC       2024-09-26
  UNH       2022-02-09, 2022-03-25, 2024-11-11
  UNIT      2020-12-07
  UNM       2022-05-09, 2022-06-06
  UPBD      2023-07-26, 2024-03-22
  URBN      2021-06-23, 2024-06-24
  URI       2021-11-03, 2021-11-05, 2024-09-24
  UTSL      2024-11-27
  UUUU      2021-10-26
  UWMC      2024-02-09, 2024-03-22
  VET       2022-06-07
  VICR      2020-12-03, 2020-12-16, 2021-02-12
  VIST      2024-10-25
  VLO       2025-12-01
  VLY       2025-01-30
  VNO       2021-06-09
  VONG      2021-12-28
  VRSK      2020-12-23
  VRT       2025-10-02
  VRTX      2022-12-08, 2023-07-20
  VSEC      2025-03-21
  VSH       2023-02-01
  VUZI      2025-12-30, 2026-01-05
  VZLA      2025-03-19
  WAB       2021-10-15, 2021-10-20
  WAL       2022-01-13
  WAT       2025-01-06
  WB        2020-12-22
  WDAY      2021-10-27
  WDFC      2024-11-12
  WES       2022-10-27, 2023-11-03, 2023-11-29, 2025-02-21
  WFG       2021-12-09, 2022-02-10, 2024-11-27
  WFRD      2022-04-13
  WGS       2025-11-10, 2025-11-25, 2025-11-28
  WH        2021-12-23
  WHD       2022-01-11, 2024-11-25
  WING      2023-02-02, 2023-02-15
  WK        2023-07-18
  WKHS      2020-11-27
  WLK       2021-05-04, 2021-05-06
  WMB       2021-01-15
  WMK       2021-12-29
  WMS       2024-07-31
  WSBC      2025-02-06
  WSM       2020-11-23
  WSO       2023-10-05, 2024-03-20, 2024-03-22
  WULF      2024-11-07
  WWW       2024-07-23
  WYNN      2025-12-02
  XME       2021-08-11, 2023-03-01, 2024-04-05
  XOP       2022-01-19
  XPOF      2025-02-05
  XSD       2021-08-05
  YPF       2024-03-20
  YUM       2026-02-06
  Z         2023-07-13, 2023-07-18, 2024-11-05
  ZBRA      2024-07-11, 2025-01-21, 2025-01-23
  ZG        2023-07-13
  ZGN       2026-01-06, 2026-01-08, 2026-01-13
  ZIM       2022-05-27, 2022-06-01, 2025-02-25
  ZYME      2024-02-20

676 unique tickers, 942 clusters
